iata,time_zone_id,name,city_code,country_id,location,elevation,icao,city,state
JTN,America/Sao_Paulo,Antônio Ribeiro Nogueira Jr. State Airport,JTN,BR,POINT (-46.785556 -24.164722),10,SDIM,Itanhaém,
JTA,America/Fortaleza,Pedro Teixeira Castelo Airport,JTA,BR,POINT (-40.29597814583012 -5.93260025),1457,SDZG,Tauá,
GDR,America/Sao_Paulo,Angra dos Reis Airport,GDR,BR,POINT (-44.307222 -22.975278),22,SDAG,Angra dos Reis,
MXQ,America/Sao_Paulo,Lorenzo Airport,MXQ,BR,POINT (-38.91 -13.389444),22,SNCL,Cairu,
JHF,America/Sao_Paulo,São Paulo Catarina Executive Airport,JHF,BR,POINT (-47.165658 -23.426886),2562,SBJH,São Roque,Sao Paulo
JSB,America/Fortaleza,Walfrido Salmito de Almeida Airport,JSB,BR,POINT (-40.883333 -4.05),2874,SWBE,São Benedito,Ceará
VCC,America/Sao_Paulo,New Vacaria Airport,VCC,BR,POINT (-51.022778 -28.431944),2975,SNEE,Vacaria,
JCS,America/Fortaleza,Aeroporto De Crateus Airport,JCS,BR,POINT (-40.7045819389 -5.21230869969),1026,SNWS,Crateus,
JPO,America/Recife,Brigadeiro Firmino Ayres Airport,NVM,BR,POINT (-37.25184761766 -7.037496939556),850,SNTS,Patos,
JPE,America/Sao_Paulo,Nagib Demachki Airport,JPE,BR,POINT (-47.316389 -3.019722),443,SNEB,Paragominas,
JPY,America/Sao_Paulo,Paraty Airport,JPY,BR,POINT (-44.720278 -23.224444),10,SDTK,Paraty,
MEA,America/Sao_Paulo,Macae,MEA,BR,POINT (-41.76577364545359 -22.343171050000002),19,SBME,Macae,Rio de Janeiro
IUP,America/Manaus,Lorenzo Airport,IUP,BR,POINT (-59.8393706089647 -7.1726927603202),616,,Apui,
MEU,America/Santarem,Monte Dourado,MEU,BR,POINT (-52.60197779839184 -0.8896558000000001),649,SBMD,Almeirim,Para
EEA,America/Sao_Paulo,Aeroporto Regional do Planalto Serrano,EEA,BR,POINT (-50.34963377743513 -27.63194875),2880,SNCP,Correia Pinto,
ITP,America/Sao_Paulo,Itaperuna,ITP,BR,POINT (-41.87582988333334 -21.219961),331,SDUN,Itaperuna,Rio de Janeiro
LVB,America/Sao_Paulo,Dos Galpoes,LVB,BR,POINT (-55.61667 -30.833332),997,,Rivera,Rivera
CSW,America/Porto_Velho,Colorado do Oeste,CSW,BR,POINT (-61.168056 -13.019444),711,,,
BAU,America/Sao_Paulo,Bauru Airport,BRI,BR,POINT (-49.05328145802982 -22.3450535),2047,,Bauru,Sao Paulo
AQM,America/Porto_Velho,Ariquemes,AQM,BR,POINT (-63.066666 -9.933333),334,SJOG,Ariquemes,Rondonia
AUB,America/Cuiaba,Itauba Airport,AUB,BR,POINT (-55.581735 -11.878603),1223,,Itauba,Mato Grosso
SLZ,America/Fortaleza,Marechal Cunha Machado International Airport,SLZ,BR,POINT (-44.23940764493366 -2.58899115),111,SBSL,Sao Luis,Maranhao
BAT,America/Sao_Paulo,Airport Chafei Amsei,BAT,BR,POINT (-48.55 -20.55),1732,SNBA,Barretos,Sao Paulo
AAG,America/Sao_Paulo,Arapoti,AAG,BR,POINT (-49.78949435424242 -24.1037812),2608,SSYA,Jaguariaiva,Parana
BGV,America/Sao_Paulo,Bento Goncalves,BGV,BR,POINT (-51.516666 -29.166668),2050,SSBG,Bento Goncalves,Rio Grande do Sul
ALT,America/Santarem,Alenquer,ALT,BR,POINT (-54.766666 -1.933333),3,SDWQ,Alenquer,Para
BQQ,America/Bahia,Barra,BQQ,BR,POINT (-43.13333 -11.083333),1309,SNBX,Barra,Bahia
